sl_no,SKU_NAME,FEED_DATE,VIEWS,UNITS
0,B1212:PZ:V,5/1/2019,455,16
1,B1212:PZ:V,5/2/2019,478,12
2,B1212:PZ:V,5/3/2019,681,42
3,B1212:PZ:V,5/4/2019,662,70
4,B1212:PZ:V,5/5/2019,568,33
5,B1212:PZ:V,5/6/2019,493,47
6,B1212:PZ:V,5/7/2019,471,35
7,B1212:PZ:V,5/8/2019,495,37
8,B1212:PZ:V,5/9/2019,415,22
9,B1212:PZ:V,5/10/2019,460,46
10,B1212:PZ:V,5/11/2019,556,37
11,B1212:PZ:V,5/12/2019,465,32
12,B1212:PZ:V,5/13/2019,449,57
13,B1212:PZ:V,5/14/2019,481,31
14,B1212:PZ:V,5/15/2019,425,35
15,B1212:PZ:V,5/16/2019,411,36
16,B1212:PZ:V,5/17/2019,423,32
17,B1212:PZ:V,5/18/2019,440,30
18,B1212:PZ:V,5/19/2019,473,24
19,B1212:PZ:V,5/20/2019,388,31
20,B1212:PZ:V,5/21/2019,423,37
21,B1212:PZ:V,5/22/2019,486,38
22,B1212:PZ:V,5/23/2019,417,41
23,B1212:PZ:V,5/24/2019,414,8
24,B1212:PZ:V,5/25/2019,441,11
25,B1212:PZ:V,5/26/2019,422,12
26,B1212:PZ:V,5/27/2019,431,25
27,B1212:PZ:V,5/28/2019,431,45
28,B1212:PZ:V,5/29/2019,408,35
29,B1212:PZ:V,5/30/2019,420,18
30,B1212:PZ:V,5/31/2019,487,17
31,B1212:PZ:V,6/1/2019,383,27
32,B1212:PZ:V,6/2/2019,515,27
33,B1212:PZ:V,6/3/2019,410,8
34,B1212:PZ:V,6/4/2019,428,19
35,B1212:PZ:V,6/5/2019,490,24
36,B1212:PZ:V,6/6/2019,510,39
37,B1212:PZ:V,6/7/2019,540,39
38,B1212:PZ:V,6/8/2019,443,35
39,B1212:PZ:V,6/9/2019,494,29
40,B1212:PZ:V,6/10/2019,579,40
41,B1212:PZ:V,6/11/2019,501,30
42,B1212:PZ:V,6/12/2019,516,31
43,B1212:PZ:V,6/13/2019,546,60
44,B1212:PZ:V,6/14/2019,523,43
45,B1212:PZ:V,6/15/2019,505,33
46,B1212:PZ:V,6/16/2019,502,43
47,B1212:PZ:V,6/17/2019,570,51
48,B1212:PZ:V,6/18/2019,527,46
49,B1212:PZ:V,6/19/2019,505,41
50,B1212:PZ:V,6/20/2019,520,37
51,B1212:PZ:V,6/21/2019,451,32
52,B1212:PZ:V,6/22/2019,463,33
53,B1212:PZ:V,6/23/2019,490,31
54,B1212:PZ:V,6/24/2019,450,27
55,B1212:PZ:V,6/25/2019,526,33
56,B1212:PZ:V,6/26/2019,522,34
57,B1212:PZ:V,6/27/2019,505,42
58,B1212:PZ:V,6/28/2019,558,42
59,B1212:PZ:V,6/29/2019,499,39
60,B1212:PZ:V,6/30/2019,531,38
61,B1212:PZ:V,7/1/2019,581,36
62,B1212:PZ:V,7/2/2019,517,36
63,B1212:PZ:V,7/3/2019,560,34
64,B1212:PZ:V,7/4/2019,505,37
65,B1212:PZ:V,7/5/2019,499,41
66,B1212:PZ:V,7/6/2019,527,39
67,B1212:PZ:V,7/7/2019,594,42
68,B1212:PZ:V,7/8/2019,617,41
69,B1212:PZ:V,7/9/2019,602,44
70,B1212:PZ:V,7/10/2019,513,31
71,B1212:PZ:V,7/11/2019,519,46
72,B1212:PZ:V,7/12/2019,563,47
73,B1212:PZ:V,7/13/2019,536,42
74,B1212:PZ:V,7/14/2019,576,34
75,B1212:PZ:V,7/15/2019,1175,60
76,B1212:PZ:V,7/16/2019,904,75
77,B1212:PZ:V,7/17/2019,632,43
78,B1212:PZ:V,7/18/2019,560,37
79,B1212:PZ:V,7/19/2019,682,50
80,B1212:PZ:V,7/20/2019,728,69
81,B1212:PZ:V,7/21/2019,692,50
82,B1212:PZ:V,7/22/2019,728,65
83,B1212:PZ:V,7/23/2019,736,65
84,B1212:PZ:V,7/24/2019,627,45
85,B1212:PZ:V,7/25/2019,674,73
86,B1212:PZ:V,7/26/2019,582,54
87,B1212:PZ:V,7/27/2019,663,40
88,B1212:PZ:V,7/28/2019,623,62
89,B1212:PZ:V,7/29/2019,609,55
90,B1212:PZ:V,7/30/2019,584,45
91,B1212:PZ:V,7/31/2019,627,53
92,B1212:PZ:V,8/1/2019,634,55
93,B1212:PZ:V,8/2/2019,602,81
94,B1212:PZ:V,8/3/2019,669,47
95,B1212:PZ:V,8/4/2019,634,53
96,B1212:PZ:V,8/5/2019,559,45
97,B1212:PZ:V,8/6/2019,623,100
98,B1212:PZ:V,8/7/2019,616,52
99,B1212:PZ:V,8/8/2019,589,52
100,B1212:PZ:V,8/9/2019,586,44
101,B1212:PZ:V,8/10/2019,574,39
102,B1212:PZ:V,8/11/2019,629,38
103,B1212:PZ:V,8/12/2019,620,42
104,B1212:PZ:V,8/13/2019,687,62
105,B1212:PZ:V,8/14/2019,650,31
106,B1212:PZ:V,8/15/2019,615,50
107,B1212:PZ:V,8/16/2019,646,46
108,B1212:PZ:V,8/17/2019,758,65
109,B1212:PZ:V,8/18/2019,790,60
110,B1212:PZ:V,8/19/2019,662,61
111,B1212:PZ:V,8/20/2019,627,100
112,B1212:PZ:V,8/21/2019,573,48
113,B1212:PZ:V,8/22/2019,666,56
114,B1212:PZ:V,8/23/2019,680,54
115,B1212:PZ:V,8/24/2019,796,76
116,B1212:PZ:V,8/25/2019,887,96
117,B1212:PZ:V,8/26/2019,796,90
118,B1212:PZ:V,8/27/2019,661,61
119,B1212:PZ:V,8/28/2019,669,69
120,B1212:PZ:V,8/29/2019,694,88
121,B1212:PZ:V,8/30/2019,858,74
122,B1212:PZ:V,8/31/2019,759,72
123,B111S;CCLC,5/1/2019,1591,431
124,B111S;CCLC,5/2/2019,1751,425
125,B111S;CCLC,5/3/2019,1495,353
126,B111S;CCLC,5/4/2019,1484,183
127,B111S;CCLC,5/5/2019,1652,208
128,B111S;CCLC,5/6/2019,2075,461
129,B111S;CCLC,5/7/2019,2096,521
130,B111S;CCLC,5/8/2019,1661,492
131,B111S;CCLC,5/9/2019,2133,514
132,B111S;CCLC,5/10/2019,1890,432
133,B111S;CCLC,5/11/2019,1484,217
134,B111S;CCLC,5/12/2019,1541,203
135,B111S;CCLC,5/13/2019,2189,522
136,B111S;CCLC,5/14/2019,2041,513
137,B111S;CCLC,5/15/2019,2092,550
138,B111S;CCLC,5/16/2019,2068,536
139,B111S;CCLC,5/17/2019,1881,461
140,B111S;CCLC,5/18/2019,1453,217
141,B111S;CCLC,5/19/2019,1639,254
142,B111S;CCLC,5/20/2019,2036,530
143,B111S;CCLC,5/21/2019,2064,595
144,B111S;CCLC,5/22/2019,2177,568
145,B111S;CCLC,5/23/2019,2097,508
146,B111S;CCLC,5/24/2019,1810,413
147,B111S;CCLC,5/25/2019,1626,234
148,B111S;CCLC,5/26/2019,1504,190
149,B111S;CCLC,5/27/2019,1606,278
150,B111S;CCLC,5/28/2019,2003,504
151,B111S;CCLC,5/29/2019,2166,550
152,B111S;CCLC,5/30/2019,1875,516
153,B111S;CCLC,5/31/2019,1413,346
154,B111S;CCLC,6/1/2019,1254,208
155,B111S;CCLC,6/2/2019,1398,188
156,B111S;CCLC,6/3/2019,1319,301
157,B111S;CCLC,6/4/2019,1856,473
158,B111S;CCLC,6/5/2019,1864,423
159,B111S;CCLC,6/6/2019,1894,487
160,B111S;CCLC,6/7/2019,1774,394
161,B111S;CCLC,6/8/2019,1370,212
162,B111S;CCLC,6/9/2019,1432,162
163,B111S;CCLC,6/10/2019,1883,490
164,B111S;CCLC,6/11/2019,1673,466
165,B111S;CCLC,6/12/2019,1822,422
166,B111S;CCLC,6/13/2019,1991,479
167,B111S;CCLC,6/14/2019,1862,508
168,B111S;CCLC,6/15/2019,1596,222
169,B111S;CCLC,6/16/2019,1720,219
170,B111S;CCLC,6/17/2019,2177,485
171,B111S;CCLC,6/18/2019,2194,517
172,B111S;CCLC,6/19/2019,2292,606
173,B111S;CCLC,6/20/2019,2360,529
174,B111S;CCLC,6/21/2019,1971,470
175,B111S;CCLC,6/22/2019,1446,197
176,B111S;CCLC,6/23/2019,1823,263
177,B111S;CCLC,6/24/2019,1932,421
178,B111S;CCLC,6/25/2019,1671,383
179,B111S;CCLC,6/26/2019,1714,411
180,B111S;CCLC,6/27/2019,1468,343
181,B111S;CCLC,6/28/2019,1504,368
182,B111S;CCLC,6/29/2019,1285,167
183,B111S;CCLC,6/30/2019,1183,185
184,B111S;CCLC,7/1/2019,1514,389
185,B111S;CCLC,7/2/2019,1654,397
186,B111S;CCLC,7/3/2019,1526,354
187,B111S;CCLC,7/4/2019,1076,141
188,B111S;CCLC,7/5/2019,1415,272
189,B111S;CCLC,7/6/2019,1296,156
190,B111S;CCLC,7/7/2019,1215,142
191,B111S;CCLC,7/8/2019,1585,328
192,B111S;CCLC,7/9/2019,1646,406
193,B111S;CCLC,7/10/2019,1662,353
194,B111S;CCLC,7/11/2019,1652,373
195,B111S;CCLC,7/12/2019,1659,356
196,B111S;CCLC,7/13/2019,1386,177
197,B111S;CCLC,7/14/2019,1934,198
198,B111S;CCLC,7/15/2019,4468,745
199,B111S;CCLC,7/16/2019,3283,714
200,B111S;CCLC,7/17/2019,1603,326
201,B111S;CCLC,7/18/2019,1470,333
202,B111S;CCLC,7/19/2019,1333,309
203,B111S;CCLC,7/20/2019,1100,136
204,B111S;CCLC,7/21/2019,1311,165
205,B111S;CCLC,7/22/2019,1774,428
206,B111S;CCLC,7/23/2019,1823,442
207,B111S;CCLC,7/24/2019,1691,349
208,B111S;CCLC,7/25/2019,1586,424
209,B111S;CCLC,7/26/2019,1422,350
210,B111S;CCLC,7/27/2019,1235,192
211,B111S;CCLC,7/28/2019,1136,117
212,B111S;CCLC,7/29/2019,1375,342
213,B111S;CCLC,7/30/2019,1883,452
214,B111S;CCLC,7/31/2019,1451,368
215,B111S;CCLC,8/1/2019,1139,309
216,B111S;CCLC,8/2/2019,1165,321
217,B111S;CCLC,8/3/2019,887,117
218,B111S;CCLC,8/4/2019,1192,203
219,B111S;CCLC,8/5/2019,1777,404
220,B111S;CCLC,8/6/2019,1824,444
221,B111S;CCLC,8/7/2019,1733,435
222,B111S;CCLC,8/8/2019,1790,371
223,B111S;CCLC,8/9/2019,1581,367
224,B111S;CCLC,8/10/2019,1106,160
225,B111S;CCLC,8/11/2019,1167,166
226,B111S;CCLC,8/12/2019,1620,427
227,B111S;CCLC,8/13/2019,1484,355
228,B111S;CCLC,8/14/2019,1519,397
229,B111S;CCLC,8/15/2019,1456,361
230,B111S;CCLC,8/16/2019,1391,309
231,B111S;CCLC,8/17/2019,1193,165
232,B111S;CCLC,8/18/2019,1184,136
233,B111S;CCLC,8/19/2019,1492,388
234,B111S;CCLC,8/20/2019,1516,405
235,B111S;CCLC,8/21/2019,1472,435
236,B111S;CCLC,8/22/2019,1588,431
237,B111S;CCLC,8/23/2019,1462,447
238,B111S;CCLC,8/24/2019,1097,176
239,B111S;CCLC,8/25/2019,1184,204
240,B111S;CCLC,8/26/2019,1293,323
241,B111S;CCLC,8/27/2019,1384,380
242,B111S;CCLC,8/28/2019,1396,353
243,B111S;CCLC,8/29/2019,1269,390
244,B111S;CCLC,8/30/2019,1164,293
245,B111S;CCLC,8/31/2019,1045,163
246,D102VX\R52,5/1/2019,2700,734
247,D102VX\R52,5/2/2019,2594,771
248,D102VX\R52,5/3/2019,2305,589
249,D102VX\R52,5/4/2019,1303,175
250,D102VX\R52,5/5/2019,1491,216
251,D102VX\R52,5/6/2019,2513,698
252,D102VX\R52,5/7/2019,2673,719
253,D102VX\R52,5/8/2019,2681,852
254,D102VX\R52,5/9/2019,2531,676
255,D102VX\R52,5/10/2019,2371,888
256,D102VX\R52,5/11/2019,1447,219
257,D102VX\R52,5/12/2019,1320,208
258,D102VX\R52,5/13/2019,2848,1000
259,D102VX\R52,5/14/2019,2888,820
260,D102VX\R52,5/15/2019,2900,1055
261,D102VX\R52,5/16/2019,2910,941
262,D102VX\R52,5/17/2019,2560,818
263,D102VX\R52,5/18/2019,1345,209
264,D102VX\R52,5/19/2019,1235,209
265,D102VX\R52,5/20/2019,2512,1023
266,D102VX\R52,5/21/2019,2838,1011
267,D102VX\R52,5/22/2019,2991,937
268,D102VX\R52,5/23/2019,2753,977
269,D102VX\R52,5/24/2019,2207,591
270,D102VX\R52,5/25/2019,1666,253
271,D102VX\R52,5/26/2019,1437,174
272,D102VX\R52,5/27/2019,1814,310
273,D102VX\R52,5/28/2019,2873,936
274,D102VX\R52,5/29/2019,2999,944
275,D102VX\R52,5/30/2019,3073,895
276,D102VX\R52,5/31/2019,2639,735
277,D102VX\R52,6/1/2019,1504,237
278,D102VX\R52,6/2/2019,1590,242
279,D102VX\R52,6/3/2019,3150,981
280,D102VX\R52,6/4/2019,3128,1077
281,D102VX\R52,6/5/2019,3063,899
282,D102VX\R52,6/6/2019,3110,1015
283,D102VX\R52,6/7/2019,2770,807
284,D102VX\R52,6/8/2019,1725,258
285,D102VX\R52,6/9/2019,1648,242
286,D102VX\R52,6/10/2019,2975,958
287,D102VX\R52,6/11/2019,3218,1039
288,D102VX\R52,6/12/2019,3379,1070
289,D102VX\R52,6/13/2019,3282,1082
290,D102VX\R52,6/14/2019,2776,913
291,D102VX\R52,6/15/2019,1564,239
292,D102VX\R52,6/16/2019,1540,230
293,D102VX\R52,6/17/2019,3494,1201
294,D102VX\R52,6/18/2019,3462,1184
295,D102VX\R52,6/19/2019,3264,952
296,D102VX\R52,6/20/2019,3330,1013
297,D102VX\R52,6/21/2019,2605,668
298,D102VX\R52,6/22/2019,1463,227
299,D102VX\R52,6/23/2019,1645,240
